,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,y
1,1132.957934,1446.32489,1497.676761,1918.736051,926.2384163,436.3537172,622.9301405,1560.599589,726.8668495,2039.846573,882.8396795,442.5766079,1282.183905,790.1417514,288.4133088,858.444792
2,434.2496364,356.3108471,979.4617105,737.5766485,819.0582696,776.6858201,1031.816537,382.9916291,1508.576137,590.8913728,1168.077369,1560.5993,56.15046512,870.3384733,1187.065905,1119.143943
3,829.8181546,1299.885392,1105.544287,426.1583821,1201.580856,1549.365459,1323.329346,893.479313,1648.065537,641.357168,20.67957946,873.6380282,1546.450454,1127.555542,997.6202566,1375.343603
4,412.4505144,1610.469466,1318.728924,1275.240938,1202.585654,458.1879523,1207.075291,1148.302619,1007.833999,797.4166164,1313.263408,1298.874822,490.4578023,2188.406094,1790.340672,1393.248916
5,1560.598546,1342.950184,1078.737198,894.2322412,773.3349746,1303.559955,1495.855302,505.1374273,168.0082816,1667.530006,932.3022839,612.7902547,194.5819694,206.4293088,1557.395709,1364.198944
6,1902.46457,1103.808875,-115.3125085,1277.063991,1486.330829,847.2178166,1579.096797,911.8693846,654.2701531,1521.62463,664.8160136,1840.614074,1635.520874,1291.278095,1174.196837,1071.263582
7,852.8756966,891.8490456,1471.256488,809.3978758,1311.147532,1992.141076,1477.19942,-76.35003183,1275.74965,214.4755746,840.8084671,1190.331419,1525.888504,2027.07422,2052.053686,1468.252414
8,875.5278999,325.5382813,990.4647612,1024.176321,1420.308991,1128.047109,710.6342045,2786.448565,1775.872434,744.1941013,1160.834536,954.3832733,1255.715961,1762.412024,552.2029455,570.8278751
9,1516.331509,-42.67112396,1190.771349,631.4433772,2012.112028,920.2313378,1592.676306,1298.508509,839.0568224,1558.146227,744.8772304,1418.957501,-126.2267109,1084.975529,863.7210126,1421.937126
10,1898.132012,1210.932596,741.4669108,1560.929535,1010.981934,383.1111452,1430.130662,1386.524349,610.7311319,1100.28332,1119.093273,436.2857418,1489.814535,143.0318262,894.9180186,606.238516
11,868.9200051,1057.716353,1196.257015,1718.64601,899.9825137,306.8750327,678.8294882,1223.366082,742.397693,1448.11322,704.1494596,2075.281952,1173.041145,1621.46062,739.0944288,1297.056413
12,666.8630994,647.1909254,1588.922094,1543.378679,1797.171416,-239.8794224,1217.362585,1060.050187,1232.777782,375.0283883,1869.452257,1696.985162,1445.025804,1384.362909,582.7685449,1062.718659
13,1969.993448,1286.835834,536.7441741,678.8241081,496.4799931,1268.242312,1584.851499,2050.84858,1389.438779,894.2288308,1702.302979,883.443748,665.6251768,761.7828203,358.2887957,975.8389585
14,823.1694733,534.4670703,776.8120409,1605.522998,1479.667481,780.160993,1649.072926,905.9208773,2053.560601,603.1198041,1323.689784,1920.854879,1115.034177,1902.653965,1501.288705,934.3642578
